Name,Background,Skin,Shell,Body,Mouth,Eyes,Head,Token_ID
Terrapin #00662,Early Light,Black and Yellow, Cannon,Naked,Snarl - Cigar,Tweeker ,Spiky  - Brown,260066882435603511497143156916700062513
Terrapin #08541,Neon Pink,Chocolate,Base ,Naked,Monster,Monocle - Bored ,Spiky  - Blonde,85441086663785510375764039434894337900
Terrapin #08674,Steel Blue,Lion,Base ,Naked,Monster,Eyepatch - Tweeker,Top Hat - black,152985864896805401528436035547756126831
Terrapin #07063,Baby Blue,Luna,Base ,Naked,Dopey - Drool,Sunnies - Gold,Mohawk - Purple,325173188180484142127061719356536293463
Terrapin #00660,Blood Red - Big Moon,Common,Steam Punk ,Cloak - Brown,Moustache,Anime  - Blue,Knight Helmet - Red,262511168759071209494108986959532300813
Terrapin #01796,Baby Blue,Lion,Dragon Scale - Green,Naked,Grin,Tweeker ,Girls  - Brown,200675556555952727456996416739318773755
Terrapin #01570,Neon Pink,Common,Base ,Naked,Grin - 5pm Shadow,Tweeker ,Afro,221671398371224615068050295284845533353
Terrapin #08584,Mint,Black and Yellow,Base ,Cloak - Brown,Dopey,Tweeker ,Top Hat - black,119672210213799795284982809351553267302
Terrapin #04472,Blue Grey,Luna,Turtle Katana,Naked,Dopey,Cyborg - Closed Eye,Spiky  - Blonde,133889626677854917232437253034143458821
Terrapin #07790,Baby Blue,Frog,Steam Punk ,Leather Jacket - Black,Grin - Cigar,Tweeker ,Cap - MIR,166230556404253930912148478259489946419
Terrapin #09020,Neon Pink,Lion,Base ,Orange Shirt,Scream,Cyborg - Tweeker,Lion Hat,156273087597702523737022240283572510517
Terrapin #07603,Purple,Geisha,Base ,Cloak - Black,Ehh,Cyborg - Tweeker,Top Hat - black,24786330940046238679964273229933800467
Terrapin #01589,Blue Grey,Lion,Base ,Naked,Grin - 5pm Shadow,Laser ,Wizard Hat - Brown,318909700738717904347980674408014821316
Terrapin #03432,Early Light,Luna,Knight Sword - Blue,Naked,Grin,Tweeker ,Afro,45449852359917196643645389224631934415
Terrapin #01446,Baby Yellow,Luna,Base ,Leather Jacket - Black,Snarl,Tweeker ,Rainbow Cap,4350548202184976824903998114913636350
Terrapin #01703,Purple,Leopard Unicorn,Knight Sword - Red,Luna Shirt,Dopey - Drool,Steam Punk - Tweeker,None,111411906945538760976524152493118117703
Terrapin #04554,Baby Yellow,Common,Knight Sword - Brown,Hawaiian Shirt - Watermelon,Subtle Smile,Cyborg - Angry Clown,Red  with Horns,129173528064704770962231413210429014630
Terrapin #00338,Neon Pink,Teddy,Dragon Wings - Purple,Suit and Tie,Snarl - Nose Ring,Steam Punk - Bored,Mohawk - Blue,109172890800393234354843623445051072913
Terrapin #01075,Neon Pink,Leopard Unicorn,Base ,Naked,Scowl,Laser ,Spiky  - Brown,168144934072967054800319940995029191408
Terrapin #01229,Burnt Orange,Common,Knight Sword - Red,Cloak - Blue,Grin,Tweeker ,Wizard Hat - Brown,70640827623116384890247282008617196601
Terrapin #01655,Steel Blue,Monochrome,Diamond Back,Leather Jacket - Black,Grin,Tweeker ,Spiky  - Blonde,49380733047206698931604111532940257655
Terrapin #09681,Neon Pink,Common, Spikes,Naked,Dopey,Laser ,Mohawk - Black,9548660597011575307432587442202311692
Terrapin #02151,Baby Blue,Common,Base ,Naked,Snarl,Steam Punk - Tweeker,Terrorpin,302811564832768331583658825106137007077
Terrapin #07011,Purple,Luna,Angel Wings,Leather Jacket - Black,Dopey - Vampire,Sunnies - Gun Metal,Dragon Hat - Green,240104823170179946832445552724951335748
Terrapin #07655,Mint,Common,Base ,Naked,Snarl - Cigar,Tweeker ,Cap - Pylon,104992537212777099344164085071271675599
Terrapin #00448,Mint,Tiger Teddy,Knight Sword - Green,Cloak - Brown,Dopey,Steam Punk - Angry,Cap - MIR,145559715582070922861015153902581817998
Terrapin #07108,Steel Blue,Lion,Base ,Cloak - Black,Dopey,Tweeker ,Lion Hat,59410197597214161169888925922683807752
Terrapin #01348,Blue Grey,Luna,Armoured ,Naked,Grin,Sunnies - Gun Metal,None,32969124665037563684663511356160097582
Terrapin #06573,Steel Blue,Common,Base ,Luna Jersey,Monster,Tweeker ,Mop  Brown,81776942602839109768126544103688477745
Terrapin #08641,Lilac,Common,Scythe,Naked,Ehh,Cyborg - Bored,None,19587951514554293617085559974794999430
Terrapin #05941,Lilac,Luna,Base ,Luna Jersey,Ehh,Bored ,Basketball,329767214046958008765659602035645387470
Terrapin #01458,Purple,Lion,Base ,Naked,Terrorpin,Eyepatch - Bored,Mop  Brown,254669747047173110554457168285742183062
Terrapin #07742,Purple,Common,Dragon Wings - Purple,Cloak - Blue,Sad,Cyborg - Closed Eye,Angel Halo,279543019715331460278391522230246680034
Terrapin #09161,Neon Pink,Lion,Base ,Naked,Snarl - Cigar,Cyborg - Tweeker,Pirate Bandana,150395884673489561004657688108525644238
Terrapin #03499,Charcoal Full Moon,Luna, Spikes,Cloak - Brown,Grin - Cigar,Steam Punk - Bored,Spiky  - Black,105702581291265452382894472592215139594
Terrapin #09581,Blood Red - Big Moon,Hellfire,Dragon Scale - Green,Orange Shirt,Grin,Steam Punk - Angry,Knight Helmet - Red,241401169328727532973324924095151342416
Terrapin #06310,Midnight Blue - Big Moon,Luna,Base ,Naked,Snarl - Cigar,Eyepatch - Tweeker,Bull Hat,154483551658219875997282538331879887394
Terrapin #01292,Burnt Orange,Geisha,Base ,Naked,Scream,Goggle Steam Punk - Black,Bowler Hat,242357767705048595678148546023666103346
Terrapin #05907,Baby Yellow,Unicorn,Dragon Wings - Red,Naked,Dopey - Drool,Bored  - Shaved Brow,Ramen,228807376214261761132151677892526018862
Terrapin #04860,Baby Blue,Zebra,Base ,Leather Jacket - Black,Ehh,Monocle - Bored ,Mop  Brown,307078854379596499023665511302670468133
Terrapin #03946,Mint,Common,Base ,Orange Shirt,Monster,Goggle Steam Punk,Assassins Cowl - Black,23530686582835816627283746963663213330
Terrapin #02612,Early Light,Luna,Dragon Scale - Green,Cloak - Black,Vampire,Goggle Steam Punk,Cap - MIR,210085159020057966579234370053765385077
Terrapin #04041,Blue Grey,Leopard Unicorn,Angel Wings,Leather Jacket - Black and White,Snarl,Steam Punk - Tweeker,Crown - Emerald,56177500748828828541334510904252929299
Terrapin #06694,Baby Blue,Tiger,Base ,Cloak - Brown,Scream,Tweeker ,Mohawk - Blue,187696484044716236391306260692107001543
Terrapin #01271,Clouds,Zombie,Base ,Luna Jersey,Sad,Sunnies - Gold,Spiky  - Black,173137242004221487321565359390504966923
Terrapin #09508,Blue Grey,Teddy,Dragon Scale - Green,Naked,Dopey,Bored ,Knight Helmet - Red,317962052235481525869602146629756747835
Terrapin #05457,Clouds,Leopard Lion,Base ,Cloak - Black,Beard,Steam Punk - Tweeker,Wizard Hat - Blue,193710004320306950679618790214473027352
Terrapin #06950,Early Light,Tiger,Base ,Naked,Grin,Monocle - Tweeker ,Crown - Emerald,121752128661109182511774432394719073819
Terrapin #00683,Early Light,Rainbow,Dragon Scale - Purple,Suit and Tie,Sad,Tweeker ,Cap - Luna,70627080588948074726261843297272848404
Terrapin #03630,Blue Grey,Zebra, Spikes,Naked,Snarl,Steam Punk - Bored,Top Hat - black,332823357496261276876734556022286099325
Terrapin #04062,Steel Blue,Luna,Steam Punk ,Kimono,Sad,Tweeker ,Afro,123959557013013225460969778526698737858
Terrapin #04141,Purple,Lion,Dragon Wings - Purple,Naked,Scream,Steam Punk - Tweeker,Mop  Brown,20412328256911540586253257140001031123
Terrapin #09488,Baby Yellow,Common,Base ,Naked,Snarl - Cigar,Sunnies - Gold,Angel Halo,267059335709803649374543837543072240160
Terrapin #08504,Neon Pink,Common, Spikes,Orange Shirt,Licky Licky,Bored ,Crown - Sapphire,76771301814880092833789104430169418262
Terrapin #07636,Blue Grey,Common,Base ,Naked,Ehh,Steam Punk - Angry,Mohawk - Silver,4558877407294517507968938659773511187
Terrapin #04579,Midnight Blue - Big Moon,Luna,Base ,Cloak - Black,Ehh,Tweeker ,Bowler Hat,118001245537214946593614526635933468887
Terrapin #03275,Mint,Lion,Base ,Hawaiian Shirt - Pineapple,Dopey,Bored ,Ape Hat,26836133802005686183497717804375460135
Terrapin #03001,Baby Blue,Common,Dragon Scale - Purple,Naked,Monster,Closed ,Pirate Bandana,133598144679851893792342660204691573658
Terrapin #04890,Burnt Orange,Lion,Base ,Cloak - Brown,Monster,Cyborg - Tweeker,Spiky  - Black,45475807369906678642379193085022113895
Terrapin #04473,Lilac,Common,Base ,Naked,Grin,Tweeker ,Mohawk - Green,176569593881801336073211022419344282088
Terrapin #06524,Baby Blue,Common,Knight Sword - Brown,Hawaiian Shirt - Watermelon,Dopey,Bored ,Mohawk - Black,221179313526030454721862090698369539642
Terrapin #04933,Burnt Orange,Common,Base ,Luna Jersey 30,Ehh,Angry Tweeker ,Angel Halo,30182912523955056618688681376600526356
Terrapin #08409,Neon Pink,Common,Base ,Hawaiian Shirt - Pineapple,Monster,Tweeker ,Mop  Brown,126451426731610802426568256513142733134
Terrapin #07316,Steel Blue,Common,Dragon Wings - Bones,Tuxedo,Dopey - Vampire,Tweeker ,Spiky  - Blonde,98118302084099175054708842484671796020
Terrapin #00159,Baby Blue,Leopard Unicorn,Base ,Orange Shirt,Grin,Bored  - Shaved Brow,Spiky  - Brown,268406438636699959930642090684017502159
Terrapin #08401,Blue Grey,Unicorn,Base ,Luna Jersey,Snarl - Cigar,Bored  - Shaved Brow,None,270981329192774198644870894066878428793
Terrapin #05138,Mint,Leopard Unicorn,Base ,Naked,Monster,Steam Punk - Angry,Afro,164433171644058932943989032598153477672
Terrapin #03136,Baby Blue,Teddy,Base ,Hawaiian Shirt - Watermelon,Bubblegum,Steam Punk - Tweeker,Spiky  - Brown,113266297617202867860911179516540706097
Terrapin #03214,Clouds,Tiger Teddy,Dragon Wings - Black,Leather Jacket - Black,Grin,Goggle Steam Punk - Black,Spiky  - Blonde,307755281269919027356078181407082024810
Terrapin #02913,Baby Blue,Common,Base ,Cloak - Black,Dopey,Closed ,Rainbow Cap,116243025693119897660390688855255750019
Terrapin #09502,Mint,Luna,Base ,Suit and Tie,Dopey,Tweeker ,Spiky  - Blonde,95681061368652032035905157652095138885
Terrapin #03664,Early Light,Black and Yellow, Spikes,Naked,Ehh,Steam Punk - Angry,Wizard Hat - Blue,141602847548174383157970071220299677097
Terrapin #08848,Purple,Black and Yellow,Base ,Cloak - Blue,Dopey,Cyborg - Closed Eye,Dragon Hat - Purple,247781558689414693218824837354819900612
Terrapin #05597,Baby Yellow,Luna,Base ,Kimono,Dopey,Tweeker ,Dragon Hat - Green,241803657515305877754400132795763033168
Terrapin #07358,Blue Grey,Zebra,Knight Sword - Brown,Naked,Dopey,Steam Punk - Tweeker,None,167195284258418845072791771353062848017
Terrapin #09286,Blue Grey,Common,Dragon Wings - Purple,Naked,Beard,Steam Punk - Angry,Assassins Cowl - Black,186705848115066380968825455998687042843
Terrapin #04066,Lilac,Luna,Scythe,Naked,Monster,Cyborg - Angry Clown,Cheese Head,52246578622431938415276521166028122347
Terrapin #07921,Early Light,Tiger Teddy,Base ,Naked,Dopey,Tweeker ,Spiky  - Blonde,297109209964134745322325838141893657493
Terrapin #08648,Midnight Blue - Big Moon,Leopard Lion,Base ,Luna Shirt,Ehh,Sunnies - Gold,Mohawk - Silver,242481891851246964175929250352879422656
Terrapin #08300,Steel Blue,Geisha,Base ,Hawaiian Shirt - Watermelon,Grin,Cyborg - Tweeker,Cap - ANC,281515888294522128727738034453750261749
Terrapin #06917,Burnt Orange,Common,Base ,Hawaiian Shirt - Watermelon,Ehh,Sunnies - Gun Metal,Cheese Head,29541788568518285951114394842346272587
Terrapin #06414,Early Light,Common,Base ,Steam Punk Shirt - Blue,Grin,Monocle - Bored ,Cheese Head,38379951239519658387388480469533783041
Terrapin #00207,Blood Red - Big Moon,Hellfire,Base ,Steam Punk Shirt - Red,Dopey,Steam Punk - Bored,Spiky  - Brown,145184214882687835709051180769041288603
Terrapin #07328,Purple,Lion, Cannon,Naked,Dopey - Vampire,Goggle Steam Punk - Black,Fried Egg,101145152527689048567125993572741426645
Terrapin #09422,Burnt Orange,Common,Dragon Wings - Black,Cloak - Black,Dopey,Steam Punk - Tweeker,None,203444597948261119563172394312332562195
Terrapin #05149,Baby Blue,Lion,Knight Sword - Blue,Naked,Terrorpin,Cyborg - Bored,Crown - Emerald,225703943077017925321791542155265608165
Terrapin #06177,Purple,Black and Yellow,Knight Sword - Green,Naked,Dopey,Bored ,Angel Halo,279028346682475450244279101568003407577
Terrapin #02625,Steel Blue,Monochrome, Spikes,Cloak - Black,Dopey - Vampire,Steam Punk - Bored,Mop  Brown,254411303704995397272389245639308184172
Terrapin #01820,Blue Grey,Lion,Diamond Back,Leather Jacket - Black,Beard,Bored  - Shaved Brow,Knight Helmet - Blue,115122841107306106239242448270580384955
Terrapin #05972,Blood Red - Big Moon,Chocolate,Base ,Luna Jersey,Grin,Tweeker ,None,123631697648473021590745665264838240340
Terrapin #01719,Blue Grey,Tiger Teddy,Base ,Naked,Dopey - Drool,Tweeker ,Mohawk - Black,27326899116066624881797820464803681631
Terrapin #07130,Midnight Blue - Big Moon,Common,Knight Sword - Brown,Hawaiian Shirt - Watermelon,Sad,Monocle - Tweeker ,Mohawk - Black,141282218618341515394792342808721773343
Terrapin #03427,Mint,Geisha,Base ,Steam Punk Shirt - Blue,Grin,Angry Tweeker ,Spiky  - Blonde,20131843083842775707263709053265513514
Terrapin #03437,Blue Grey,Hellfire,Angel Wings,Hawaiian Shirt - Pineapple,Dopey,Tweeker ,Pirate Bandana,4155113776908011759538493278610929850
Terrapin #03677,Early Light,Black and Yellow,Base ,Steam Punk Shirt - Red,Dopey,Eyepatch - Bored,Bowler Hat,111328947191140266834352071154782356495
Terrapin #04950,Baby Yellow,Lion, Spikes,Cloak - Brown,Bubblegum,Steam Punk - Tweeker,None,119565377766629173897934265601395524428
Terrapin #04602,Early Light,Dalmation,Base ,Orange Shirt,Moustache,Eyepatch - Bored,Fried Egg,271426457739678967648735801930525429120
Terrapin #06927,Charcoal - Big Moon,Leopard Unicorn,Knight Sword - Green,Naked,Dopey - Vampire,Bored ,Mohawk - Silver,8133495387819050383480554698163448984
Terrapin #08059,Charcoal Full Moon,Dalmation,Base ,Orange Shirt,Snarl,Tweeker ,Ice Cream,172079344486050600957282551070406083297
Terrapin #09766,Purple,Leopard Unicorn,Base ,Cloak - Black,Snarl - Cigar,Cyborg - Tweeker,None,158338632146625528820491072221839020846
Terrapin #04148,Baby Yellow,Luna,Base ,Hawaiian Shirt - Watermelon,Dopey,Tweeker ,Mop  Black,168983268464647954973872148412132920466
Terrapin #07565,Burnt Orange,Common,Knight Sword - Green,Naked,Dopey - Drool,Cyborg - Tweeker,Angel Halo,275950930261033097416039704294690477526
Terrapin #06714,Blue Grey,Monochrome,Base ,Suit and Tie,Grin,Bored  - Shaved Brow,Ice Cream,329076954830922403974080748940897313558
Terrapin #01500,Neon Pink,Common, Spikes,Naked,Dopey,Cyborg - Tweeker,Cap - Pylon,262818331886615545382915945607269776331
Terrapin #00251,Purple,Common,Angel Wings,Orange Shirt,Dopey,Tweeker ,Lion Hat,42720709587556856023895544975021885640
Terrapin #04164,Midnight Blue - Big Moon,Common,Dragon Wings - Black,Luna Jersey 30,Grin,Cyborg - Bored,Spiky  - Black,221800224617297600971489382798662986863
Terrapin #07838,Blue Grey,Lion,Knight Sword - Blue,Tuxedo,Beard,Bored  - Shaved Brow,Mop  Brown,185934596650172022769955436684999048672
Terrapin #08082,Mint,Tiger Teddy,Base ,Naked,Scowl,Eyepatch - Bored,Dragon Hat - Green,186180886725159066111143173774715777010
Terrapin #01797,Steel Blue,Common,Base ,Hawaiian Shirt - Watermelon,Grin - 5pm Shadow,Steam Punk - Bored,Rainbow Cap,34182012668969277268137488764954174328
Terrapin #08169,Purple,Common,Base ,Naked,Dopey,Sunnies - Pink,Mop  Brown,289080703158223043126240031884663723138
Terrapin #03771,Neon Pink,Hellfire,Base ,Naked,Moustache,Tweeker ,Rainbow Cap,48214519238969588992945734988369245617
Terrapin #02131,Steel Blue,Monochrome,Knight Sword - Green,Naked,Monster,Bored  - Shaved Brow,Mop  Brown,188040456499817270424628210631835475596
Terrapin #07579,Baby Yellow,Black and Yellow,Dragon Wings - Green,Kings Robe,Subtle Smile,Bored ,Girls  - Brown,3628912142483192466540184654148487577
Terrapin #02147,Mint,Leopard Unicorn,Steam Punk ,Luna Jersey,Ehh,Spectacles - Tortoise Shell,Devil Horns,304759895002647892129846657183655478123
Terrapin #06904,Blue Grey,Unicorn,Base ,Naked,Ehh,Steam Punk - Bored,Basketball,201036516337065168631629140808474263118
Terrapin #07056,Purple,Geisha, Spikes,Naked,Subtle Smile,Bored ,Devil Horns,71915849012367793895289042863123825618
Terrapin #07873,Blue Grey,Lion,Knight Sword - Red,Naked,Terrorpin,Cyborg - Angry,Cap - Luna,196365788161643152656223235761066574718
Terrapin #04397,Midnight Blue - Big Moon,Common,Base ,Cloak - Brown,Grin,Cyborg - Bored,Devil Horns,319777836859950205714381941990816173486
Terrapin #01641,Mint,Common,Base ,Cloak - Black,Licky Licky,Tweeker ,Mohawk - Silver,67544763518815243770195157327129011385
Terrapin #04477,Blue Grey,Common,Base ,Luna Jersey,Grin - 5pm Shadow,Cyborg - Closed Eye,Spiky  - Brown,62108221163664730027044137494325933992
Terrapin #09801,Purple,Lion,Knight Sword - Green,Naked,Dopey,Tweeker ,Spiky  - Blonde,16290485804243045927337592659854846175
Terrapin #06381,Burnt Orange,Common,Dragon Wings - Black,Cloak - Black,Grin,Cyborg - Bored,Angel Halo,266847284200378690919618433764660817593
Terrapin #03957,Baby Blue,Geisha,Base ,Steam Punk Shirt - Red,Scream,Cyborg - Bored,Spiky  - Black,117529482279002583723965409755956627356
Terrapin #03236,Mint,Common,Base ,Leather Jacket - Black,Scowl,Cyborg - Bored,Octopus,184937022678652978886035385831575931343
Terrapin #03934,Blue Grey,Hellfire,Knight Sword - Green,Hawaiian Shirt - Watermelon,Snarl - Nose Ring,Tweeker ,Mop  Black,175292600221107424089390285365979828740
Terrapin #08242,Baby Blue,Lion, Spikes,Luna Shirt,Monster,Sunnies - Gun Metal,Penguin Hat,339145593378472047023258043127674876922
Terrapin #09450,Charcoal - Big Moon,Lion, Cannon,Hawaiian Shirt - Watermelon,Scowl,Tweeker ,Mohawk - Blue,78465615041351582994700950386059607976
Terrapin #07086,Blue Grey,Black and Yellow,Dragon Wings - Green,Cloak - Black,Vampire,Goggle Steam Punk,Mop  Black,155987811135306979087742300317929339214
Terrapin #07684,Steel Blue,Leopard Unicorn,Base ,Naked,Ehh,Steam Punk - Bored,Spiky  - Blonde,260343441072246594444406855417174572426
Terrapin #05364,Neon Pink,Common,Dragon Scale - Green,Hawaiian Shirt - Watermelon,Grin,Bored ,Red  with Horns,189298053298355726765947050050966448636
